Column1,Player,Role,Nation,Team,Images,,
167,"Harpreet Bhatia

",Batsman,India,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1934.png,,
168,"
Vidwath Kaverappa

",Bowler,India,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1564.png,,
169,"

Mohit Rathee

",All-rounder,India,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1935.png,,
170,"

Shivam Singh

",All-rounder,India,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1936.png,,
171,Matthew Short,Batsman,Australia,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/2032.png,,
172,Yashasvi Jaiswal,Batsman,India,Rajasthan Royals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/533.png,,
173,Devdutt Padikkal,Batsman,India,Rajasthan Royals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/200.png,,
174,Shimron Hetmyer,Batsman,West Indies,Rajasthan Royals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/210.png,,
175,Sanju Samson ,WK-Batsman,India,Rajasthan Royals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/190.png,,
176,Jos Buttler ,WK-Batsman,England,Rajasthan Royals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/182.png,,
